Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Datetime,ULBreakoutPL,ULBreakout
2003.05.12 00:00,2003.05.16 23:30,1.14888,1.16229,1.13675,1.15705,6361579,1272316,255.4,1.1501,1.1574,1.1464,110.0,2417,1286,1066,1.21,3.75,14,18.2,1.0,1.161,1.15803,1.15505,1.1491,1.14315,1.1401700000000001,1.1372,474,1106,529,297,2003-05-16 23:30:00,59.500000000001215,1
2003.07.14 00:00,2003.07.18 23:30,1.1286399999999999,1.13358,1.11113,1.12716,6354383,1270877,224.5,1.1211,1.1268,1.1134,134.0,2339,1341,947,1.42,4.14,14,17.8,1.0,1.1334,1.13075,1.1281,1.1228,1.1175,1.11485,1.1122,397,653,852,428,2003-07-18 23:30:00,52.9999999999986,1
2003.07.15 00:00,2003.07.21 23:30,1.12707,1.13526,1.11113,1.13465,6356526,1271305,241.3,1.1211,1.1272,1.1134,138.0,2399,1400,947,1.48,3.93,23,18.2,1.0,1.135,1.13215,1.1293,1.1236,1.1179,1.11505,1.1122,294,686,932,477,2003-07-21 23:30:00,57.000000000000384,1
2003.07.16 00:00,2003.07.22 23:30,1.11775,1.13713,1.11113,1.13285,6343387,1268677,260.0,1.1211,1.1284,1.1134,150.0,2295,1391,855,1.63,3.5,43,17.6,1.0,1.1368,1.13373,1.13065,1.1245,1.11835,1.1152799999999998,1.1122,485,442,879,478,2003-07-22 23:30:00,61.500000000000995,1
2003.08.22 00:00,2003.08.28 23:30,1.09133,1.09445,1.07911,1.08781,6701019,1340204,153.4,1.0867,1.0904,1.0842,62.0,2179,1167,938,1.24,5.59,-4,16.3,1.0,1.0936,1.0918700000000001,1.09015,1.0867,1.08325,1.0815299999999999,1.0798,393,837,740,196,2003-08-28 23:30:00,34.49999999999953,1
2003.08.25 00:00,2003.08.29 23:30,1.0849600000000001,1.09964,1.07911,1.09817,6715094,1343019,205.3,1.0871,1.0908,1.0846,62.0,2151,1097,985,1.11,4.14,14,16.0,1.0,1.099,1.0966,1.0942,1.0894,1.0846,1.0822,1.0798,144,402,1239,356,2003-08-29 23:30:00,-47.999999999999154,2
2003.08.29 00:00,2003.09.04 23:30,1.0877299999999999,1.10125,1.07606,1.094,6585465,1317093,251.9,1.0845,1.0936,1.0776,160.0,2122,1333,753,1.77,3.34,2,15.9,1.0,1.1012,1.0981,1.095,1.0888,1.0826,1.0795,1.0764,515,403,714,487,2003-09-04 23:30:00,61.99999999999983,1
2003.09.11 00:00,2003.09.17 23:30,1.12032,1.13208,1.11329,1.12804,6744031,1348806,187.9,1.1183,1.1274,1.1154,120.0,2176,1631,500,3.26,4.58,-1,16.5,1.0,1.132,1.1297,1.1274,1.1228,1.1182,1.1159,1.1136,547,551,612,462,2003-09-17 23:30:00,-45.999999999999375,2
2003.09.12 00:00,2003.09.18 23:30,1.12024,1.13414,1.11329,1.12526,6717420,1343484,208.5,1.1277,1.1314,1.1208,106.0,2166,621,1482,0.42,4.13,-21,16.4,1.0,1.1322,1.12988,1.12755,1.1229,1.11825,1.11592,1.1136,722,701,298,424,2003-09-18 23:30:00,46.500000000000426,1
2003.09.15 00:00,2003.09.19 23:30,1.12675,1.1382299999999999,1.11366,1.13762,6725956,1345191,245.7,1.1277,1.131,1.1218,92.0,2161,753,1343,0.56,3.49,9,16.2,1.0,1.1378,1.1348,1.1318,1.1258,1.1198,1.1168,1.1138,195,1065,560,336,2003-09-19 23:30:00,60.00000000000005,1
